queueRank,status,submitted,company,role,fitTier,companyType,jobDomain,domainResume,location,applicationUrl,folder,resumePath,trackerNote
14,submitted,2026-06-06T20:23:54.494Z,BRM,Entry Level Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://jobs.ashbyhq.com/brm.ai/05cad7f7-2194-480d-8e70-7338cfd2a189/application?utm_source=vansh,ng_applications/0014__BRM__Entry_Level_Software_Engineer,ng_applications/0014__BRM__Entry_Level_Software_Engineer/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. We'll contact you if there are next steps.
15,closed,,Candid Health,New Grad: Forward Deployed Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA Denver, CO New York, NY",https://jobs.ashbyhq.com/candidhealth/8d1922f8-e89d-433e-a21f-b724eabc003b?utm_source=Simplify&ref=Simplify&utm_source=vansh&ref=vansh,ng_applications/0015__Candid_Health__New_Grad_Forward_Deployed_Software_Engineer,ng_applications/0015__Candid_Health__New_Grad_Forward_Deployed_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA opened Ashby URL; page text: Job not found.
16,closed,,Candid Health,New Grad: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA Denver, CO New York, NY",https://jobs.ashbyhq.com/candidhealth/f0e529c1-b8d8-4add-aaef-23b174053b8b?utm_source=Simplify&ref=Simplify&utm_source=vansh&ref=vansh,ng_applications/0016__Candid_Health__New_Grad_Software_Engineer,ng_applications/0016__Candid_Health__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA opened Ashby URL; page text: Job not found.
17,closed,,Cape,New Grad: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"New York, NY Washington, DC",https://jobs.ashbyhq.com/Cape/bd280ded-4298-47de-a186-1aebd1bd94b8?utm_source=vansh,ng_applications/0017__Cape__New_Grad_Software_Engineer,ng_applications/0017__Cape__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA opened Ashby URL; page text: Job not found.
18,submitted,2026-06-07,Cerebras Systems,New Grad: Software Engineer,high,Startup / venture-backed company,Infrastructure / platform / SRE / DevOps,infra,"Sunnyvale, CA",https://job-boards.greenhouse.io/earlytalentcerebras/jobs/7621174003?utm_source=vansh,ng_applications/0018__Cerebras_Systems__New_Grad_Software_Engineer,ng_applications/0018__Cerebras_Systems__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,Retried Greenhouse application and reached confirmation page: Thank you for applying.
19,closed,,"Collective Hub, Inc",New Grad: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://www.collective.com/careers/6614825003?utm_source=vansh,ng_applications/0019__Collective_Hub_Inc__New_Grad_Software_Engineer,ng_applications/0019__Collective_Hub_Inc__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA page rendered empty job details; curl showed Collective Next.js not-found payload for /careers/6614825003. No application form available.
20,needs_recheck,,Continue,Software Engineer – New grad,high,Startup / venture-backed company,Backend / full-stack software,backend,SF,https://jobs.ashbyhq.com/continue/219fce3e-7af9-4b00-8fa7-87bf53db72f7/application?utm_source=Simplify&ref=Simplify,ng_applications/0020__Continue__Software_Engineer_New_grad,ng_applications/0020__Continue__Software_Engineer_New_grad/Yuanbo_Pang_Resume.pdf,"Chrome/CUA filled and uploaded resume, but Ashby rejected submission with: Your application submission was flagged as possible spam. Not submitted."
21,closed,,Credit Genie,New Grad: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"New York, NY",https://jobs.ashbyhq.com/creditgenie/016056e0-61cd-4a19-9d42-5f3cd88fed02?utm_source=vansh,ng_applications/0021__Credit_Genie__New_Grad_Software_Engineer,ng_applications/0021__Credit_Genie__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA opened Ashby URL; page text: Job not found.
22,needs_recheck,,D3 Global Inc,New Grad: Backend Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"Los Angeles, CA",https://d3.com/careers#jobs-listing?utm_source=vansh,ng_applications/0022__D3_Global_Inc__New_Grad_Backend_Engineer,ng_applications/0022__D3_Global_Inc__New_Grad_Backend_Engineer/Yuanbo_Pang_Resume.pdf,"Chrome/CUA found live Greenhouse Backend Engineer - New Grad form, filled basics/links and uploaded resume, but submission blocked by Greenhouse phone Country validation despite +1 phone value; not submitted."
23,submitted,2026-06-06T21:17:07.300Z,Ellipsis Labs,Software Engineer - 2027 New Grads,high,Startup / venture-backed company,Backend / full-stack software,backend,"New York, New York",https://jobs.ashbyhq.com/ellipsislabs/256c2ec2-01c8-4ff6-9ad0-b926fe40472d,ng_applications/0023__Ellipsis_Labs__Software_Engineer_-_2027_New_Grads,ng_applications/0023__Ellipsis_Labs__Software_Engineer_-_2027_New_Grads/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. We'll contact you if there are next steps.
24,submitted,2026-06-06T21:17:07.300Z,Ellipsis Labs,Software Engineer – New Grads - Multiple Teams,high,Startup / venture-backed company,Backend / full-stack software,backend,NYC,https://jobs.ashbyhq.com/ellipsislabs/256c2ec2-01c8-4ff6-9ad0-b926fe40472d/application?utm_source=Simplify&ref=Simplify,ng_applications/0024__Ellipsis_Labs__Software_Engineer_New_Grads_-_Multiple_Teams,ng_applications/0024__Ellipsis_Labs__Software_Engineer_New_Grads_-_Multiple_Teams/Yuanbo_Pang_Resume.pdf,Same Ashby posting as rank 23; submitted once via rank 23 application. Confirmation page showed successful submission.
25,submitted,2026-06-06T21:36:29.221Z,Eventual,New Grad: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://jobs.ashbyhq.com/eventualcomputing/becb5675-3480-4d2b-b126-2acad40fd088/application?utm_source=vansh,ng_applications/0025__Eventual__New_Grad_Software_Engineer,ng_applications/0025__Eventual__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. We'll contact you if there are next steps.
26,needs_recheck,,FlexAI,Software Engineer – New Grad,high,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Jose, CA",https://ats.rippling.com/flexai/jobs/93ada67c-8527-427c-b2f6-4a5557b00674?utm_source=Simplify&ref=Simplify,ng_applications/0026__FlexAI__Software_Engineer_New_Grad,ng_applications/0026__FlexAI__Software_Engineer_New_Grad/Yuanbo_Pang_Resume.pdf,"Chrome/CUA verified live Rippling job page, but both Apply now buttons did not open an application form; no submit possible in current browser session."
27,closed,,Gecko Robotics,Software Engineer - New Graduate Rotational Development Program,high,Startup / venture-backed company,Backend / full-stack software,backend,"Boston, MA NYC",https://jobs.ashbyhq.com/gecko-robotics/7d9ce912-14c3-405b-9f8a-7f261fe8230d/application?utm_source=vansh,ng_applications/0027__Gecko_Robotics__Software_Engineer_-_New_Graduate_Rotational_Development_Pr,ng_applications/0027__Gecko_Robotics__Software_Engineer_-_New_Graduate_Rotational_Development_Pr/Yuanbo_Pang_Resume.pdf,Chrome/CUA Ashby page shows: Job not found. The job you requested was not found.
28,submitted,2026-06-06T21:40:20.415Z,Giga AI,Software Engineer – New Grads,high,Startup / venture-backed company,AI/ML / applied AI,ai_ml,NYC,https://jobs.ashbyhq.com/gigaml/7314c5c1-e3d0-4439-ad9f-b3b09d4dde51/application?utm_source=Simplify&ref=Simplify,ng_applications/0028__Giga_AI__Software_Engineer_New_Grads,ng_applications/0028__Giga_AI__Software_Engineer_New_Grads/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. Answers: US-based yes; employer sponsorship no; NYC relocation yes; startup intensity yes.
29,submitted,2026-06-06T21:42:00.255Z,GigaML,Software Engineer - New Grads,high,Startup / venture-backed company,Backend / full-stack software,backend,San Francisco,https://jobs.ashbyhq.com/gigaml/cb74c445-322b-47fc-804c-b0565e18ca3a,ng_applications/0029__GigaML__Software_Engineer_-_New_Grads,ng_applications/0029__GigaML__Software_Engineer_-_New_Grads/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. Answers: US-based yes; employer sponsorship no; SF Bay Area onsite yes; startup intensity yes.
30,submitted,2026-06-06T21:40:20.474Z,GigaML,Software Engineer - New Grads - New York,high,Startup / venture-backed company,Backend / full-stack software,backend,New York,https://jobs.ashbyhq.com/gigaml/7314c5c1-e3d0-4439-ad9f-b3b09d4dde51,ng_applications/0030__GigaML__Software_Engineer_-_New_Grads_-_New_York,ng_applications/0030__GigaML__Software_Engineer_-_New_Grads_-_New_York/Yuanbo_Pang_Resume.pdf,Same Ashby posting as rank 28 (gigaml/7314c5c1-e3d0-4439-ad9f-b3b09d4dde51); marked submitted via rank 28 to avoid duplicate application.
31,needs_recheck,,Greenboard (W24),New Grad: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"New York, NY",https://www.workatastartup.com/jobs/75855?utm_source=vansh,ng_applications/0031__Greenboard_W24__New_Grad_Software_Engineer,ng_applications/0031__Greenboard_W24__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,"Chrome/CUA verified WorkAtAStartup live page, but Apply now routes to YC account authentication/sign-up; application cannot be submitted without login."
32,closed,,Harvey,New Grad: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://jobs.ashbyhq.com/harvey/fe8e594b-f2e1-453b-8a0d-e0b0bfdf745b?utm_source=vansh,ng_applications/0032__Harvey__New_Grad_Software_Engineer,ng_applications/0032__Harvey__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA Ashby page shows: Job not found. The job you requested was not found.
33,submitted,2026-06-06T21:44:33.790Z,Julius,Software Engineer - Product - New Grad,high,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://jobs.ashbyhq.com/julius/5e0b677a-f677-44de-93c6-f7848ab5a8e6,ng_applications/0033__Julius__Software_Engineer_-_Product_-_New_Grad,ng_applications/0033__Julius__Software_Engineer_-_Product_-_New_Grad/Yuanbo_Pang_Resume.pdf,Same Ashby posting as rank 34 (julius/5e0b677a-f677-44de-93c6-f7848ab5a8e6); marked submitted via rank 34 to avoid duplicate application.
34,submitted,2026-06-06T21:44:33.742Z,Julius AI,Refresh Software Engineer New Grad - Product,high,Startup / venture-backed company,AI/ML / applied AI,ai_ml,SF,https://jobs.ashbyhq.com/julius/5e0b677a-f677-44de-93c6-f7848ab5a8e6/application?utm_source=Simplify&ref=Simplify,ng_applications/0034__Julius_AI__Refresh_Software_Engineer_New_Grad_-_Product,ng_applications/0034__Julius_AI__Refresh_Software_Engineer_New_Grad_-_Product/Yuanbo_Pang_Resume.pdf,"Submitted in Chrome/CUA. Confirmation: Your application to Julius was successfully submitted. Used AI/ML resume; answers: Bay Area in-office yes, work authorization yes, employer visa sponsorship/support no."
35,not_fit,,LG Ad Solutions,Entry Level Global Reporting & Analytics Analyst - Digital Campaign Management - Product Strategy and Business Intelligence,high,Startup / venture-backed company,AI/ML / applied AI,ai_ml,United Kingdom,https://jobs.ashbyhq.com/lgads/e5e78b30-13dc-4d12-b0ec-eb819de7d53a/application?utm_source=Simplify&ref=Simplify,ng_applications/0035__LG_Ad_Solutions__Entry_Level_Global_Reporting_Analytics_Analyst_-_Digital_C,ng_applications/0035__LG_Ad_Solutions__Entry_Level_Global_Reporting_Analytics_Analyst_-_Digital_C/Yuanbo_Pang_Resume.pdf,"Chrome/CUA verified live Ashby form, but role is Global Reporting & Analytics Analyst in Bangalore/UK-office context and asks legal authorization to work in the United Kingdom without sponsorship; not aligned with US OPT new-grad SWE/AI strategy."
36,submitted,2026-06-06T21:46:17.990Z,Lightfield,AI Product Engineer – New Grad,high,Startup / venture-backed company,AI/ML / applied AI,ai_ml,SF,https://jobs.ashbyhq.com/Lightfield/bb758825-5422-46c4-86c3-0be1cc89148f/application?utm_source=Simplify&ref=Simplify,ng_applications/0036__Lightfield__AI_Product_Engineer_New_Grad,ng_applications/0036__Lightfield__AI_Product_Engineer_New_Grad/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. Answers: SF HQ 4 days/week yes; relocation to SF Bay Area no; heard via Simplify/New Grad list.
37,submitted,2026-06-06T21:47:47.601Z,Mirage,Software Engineer - Early Career,high,Startup / venture-backed company,Backend / full-stack software,backend,"Union Square, New York City",https://jobs.ashbyhq.com/mirage/cbf278fd-84ec-48d9-8052-b76abb035ac7,ng_applications/0037__Mirage__Software_Engineer_-_Early_Career,ng_applications/0037__Mirage__Software_Engineer_-_Early_Career/Yuanbo_Pang_Resume.pdf,Same Ashby posting as rank 38 (mirage/cbf278fd-84ec-48d9-8052-b76abb035ac7); marked submitted via rank 38 to avoid duplicate application.
38,submitted,2026-06-06T21:47:47.551Z,Mirage,Software Engineer – Early Career,high,Startup / venture-backed company,Backend / full-stack software,backend,NYC,https://jobs.ashbyhq.com/mirage/cbf278fd-84ec-48d9-8052-b76abb035ac7/application?utm_source=Simplify&ref=Simplify,ng_applications/0038__Mirage__Software_Engineer_Early_Career,ng_applications/0038__Mirage__Software_Engineer_Early_Career/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted to the Mirage team. Answers: employer visa sponsorship no; NYC office yes; interests Backend/Platform and Applied AI.
39,submitted,2026-06-06T21:50:42.748Z,N1,New Grad Software Engineer - Backend Rust,high,Startup / venture-backed company,Backend / full-stack software,backend,4 locations SF Remote in USA Europe NYC,https://jobs.ashbyhq.com/n1/a3e25c84-0846-454a-b2fc-a356c2a713bd/application?utm_source=Simplify&ref=Simplify,ng_applications/0039__N1__New_Grad_Software_Engineer_-_Backend_Rust,ng_applications/0039__N1__New_Grad_Software_Engineer_-_Backend_Rust/Yuanbo_Pang_Resume.pdf,"Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. Answers: location San Jose, CA; willing to relocate NYC yes; earliest start January 2027."
40,submitted,2026-06-06T21:50:42.804Z,N1,New Grad Software Engineer - Backend Rust,high,Startup / venture-backed company,Backend / full-stack software,backend,"Oakland, CA NYC",https://jobs.ashbyhq.com/n1/a3e25c84-0846-454a-b2fc-a356c2a713bd/application?utm_source=vansh,ng_applications/0040__N1__New_Grad_Software_Engineer_-_Backend_Rust,ng_applications/0040__N1__New_Grad_Software_Engineer_-_Backend_Rust/Yuanbo_Pang_Resume.pdf,Same Ashby posting as rank 39 (n1/a3e25c84-0846-454a-b2fc-a356c2a713bd); marked submitted via rank 39 to avoid duplicate application.
41,submitted,2026-06-06T21:52:18.643Z,N1,New Grad Software Engineer - Full Stack,high,Startup / venture-backed company,Backend / full-stack software,backend,NYC,https://jobs.ashbyhq.com/n1/73724fe2-9a93-4a60-b349-4fd3d2efa94a/application?utm_source=Simplify&ref=Simplify,ng_applications/0041__N1__New_Grad_Software_Engineer_-_Full_Stack,ng_applications/0041__N1__New_Grad_Software_Engineer_-_Full_Stack/Yuanbo_Pang_Resume.pdf,"Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. Answers: location San Jose, CA; willing to relocate NYC yes; earliest start January 2027."
42,submitted,2026-06-06T21:54:38.160Z,Northwood Space,Software Engineer – New grad / early career,high,Startup / venture-backed company,Backend / full-stack software,backend,"Carson, CA",https://jobs.ashbyhq.com/NorthwoodSpace/b960b661-e1cc-40d0-bde3-290cd1b58ede/application?utm_source=Simplify&ref=Simplify,ng_applications/0042__Northwood_Space__Software_Engineer_New_grad_early_career,ng_applications/0042__Northwood_Space__Software_Engineer_New_grad_early_career/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was successfully submitted. Answers: onsite Torrance/DC yes; export-control status None of the above; work authorization yes; employer sponsorship no; EEOC/veteran/disability decline; start date 2027-01-04.
43,submitted,2026-06-06T21:54:38.216Z,northwoodspace,Software Engineer - General - new grad / early career,high,Startup / venture-backed company,Backend / full-stack software,backend,"Torrance, CA",https://jobs.ashbyhq.com/northwoodspace/b960b661-e1cc-40d0-bde3-290cd1b58ede,ng_applications/0043__northwoodspace__Software_Engineer_-_General_-_new_grad_early_career,ng_applications/0043__northwoodspace__Software_Engineer_-_General_-_new_grad_early_career/Yuanbo_Pang_Resume.pdf,Same Ashby posting as rank 42 (NorthwoodSpace/b960b661-e1cc-40d0-bde3-290cd1b58ede); marked submitted via rank 42 to avoid duplicate application.
44,closed,,Nuro,"New Grad: Software Engineer, Autonomy",high,Startup / small-to-mid company,Backend / full-stack software,backend,"Mountain View, CA",https://www.nuro.ai/careersitem?gh_jid=6932596&utm_source=vansh&ref=vansh,ng_applications/0044__Nuro__New_Grad_Software_Engineer_Autonomy,ng_applications/0044__Nuro__New_Grad_Software_Engineer_Autonomy/Yuanbo_Pang_Resume.pdf,Chrome/CUA verified Nuro careersitem and direct Greenhouse job ID 6932596; both render/redirect to general Nuro careers page with no job application form.
45,closed,,Nuro,"New Grad: Software Engineer, Routing",high,Startup / small-to-mid company,Backend / full-stack software,backend,"Mountain View, CA",https://www.nuro.ai/careersitem?gh_jid=7066706&utm_source=vansh&ref=vansh,ng_applications/0045__Nuro__New_Grad_Software_Engineer_Routing,ng_applications/0045__Nuro__New_Grad_Software_Engineer_Routing/Yuanbo_Pang_Resume.pdf,Chrome/CUA verified Nuro direct Greenhouse job ID 7066706; redirects/renders general Nuro careers page with no job application form.
46,closed,,Nuro,Software Engineer - Performance - New Grad,high,Startup / small-to-mid company,Infrastructure / platform / SRE / DevOps,infra,"Mountain View, California HQ",https://nuro.ai/careersitem?gh_jid=7978432,ng_applications/0046__Nuro__Software_Engineer_-_Performance_-_New_Grad,ng_applications/0046__Nuro__Software_Engineer_-_Performance_-_New_Grad/Yuanbo_Pang_Resume.pdf,Chrome/CUA verified Nuro Greenhouse job ID 7978432; careersitem/direct route renders no job application form.
47,closed,,Nuro,Software Engineer – New Grad - AI Platform,high,Startup / small-to-mid company,AI/ML / applied AI,ai_ml,"Mountain View, CA",https://nuro.ai/careersitem?gh_jid=7351066&utm_source=Simplify&ref=Simplify,ng_applications/0047__Nuro__Software_Engineer_New_Grad_-_AI_Platform,ng_applications/0047__Nuro__Software_Engineer_New_Grad_-_AI_Platform/Yuanbo_Pang_Resume.pdf,"Chrome/CUA verified Nuro Greenhouse job ID 7351066; careersitem/direct route renders no job application form, only general Nuro site/footer."
48,closed,,Nuro,Software Engineer New Grad - Performance,high,Startup / small-to-mid company,Infrastructure / platform / SRE / DevOps,infra,"Mountain View, CA",https://nuro.ai/careersitem?gh_jid=7978432&utm_source=Simplify&ref=Simplify,ng_applications/0048__Nuro__Software_Engineer_New_Grad_-_Performance,ng_applications/0048__Nuro__Software_Engineer_New_Grad_-_Performance/Yuanbo_Pang_Resume.pdf,Same Nuro Greenhouse job ID 7978432 as rank 46; verified no job application form renders.
49,submitted,2026-06-06T22:00:20.879Z,Orb,Software Engineer - Core Product - Early Career- San Francisco HQ,high,Startup / venture-backed company,Backend / full-stack software,backend,HQ San Francisco,https://jobs.ashbyhq.com/orb/b39f70d0-aaa9-46c1-896a-b064a1d3b2cc,ng_applications/0049__Orb__Software_Engineer_-_Core_Product_-_Early_Career-_San_Franc,ng_applications/0049__Orb__Software_Engineer_-_Core_Product_-_Early_Career-_San_Franc/Yuanbo_Pang_Resume.pdf,Same Ashby posting as rank 50 (orb/b39f70d0-aaa9-46c1-896a-b064a1d3b2cc); marked submitted via rank 50 to avoid duplicate application.
50,submitted,2026-06-06T22:00:20.821Z,Orb,Software Engineer – Early Career - Core Product,high,Startup / venture-backed company,Backend / full-stack software,backend,SF,https://jobs.ashbyhq.com/orb/b39f70d0-aaa9-46c1-896a-b064a1d3b2cc/application?utm_source=Simplify&ref=Simplify,ng_applications/0050__Orb__Software_Engineer_Early_Career_-_Core_Product,ng_applications/0050__Orb__Software_Engineer_Early_Career_-_Core_Product/Yuanbo_Pang_Resume.pdf,Submitted in Chrome/CUA. Confirmation: Your application was submitted. Answers: location San Jose; SF office 3 days/week yes; work auth can work for any employer; visa transfer/sponsorship no; source online job board; optional diversity/EEOC prefer/decline.
51,closed,,Parafin,New Grad: Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,SF,https://jobs.ashbyhq.com/parafin/ced48a0b-f5ed-491a-ae38-2301fb881bd9/application?utm_source=vansh,ng_applications/0051__Parafin__New_Grad_Software_Engineer,ng_applications/0051__Parafin__New_Grad_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA Ashby page shows: Job not found. The job you requested was not found.
52,closed,,Pylon,New Grad - Software Engineer,high,Startup / venture-backed company,Backend / full-stack software,backend,SF,https://jobs.ashbyhq.com/pylon-labs/ecf0d509-cfb9-43c6-b628-1e685d6f5f42/application?utm_source=vansh,ng_applications/0052__Pylon__New_Grad_-_Software_Engineer,ng_applications/0052__Pylon__New_Grad_-_Software_Engineer/Yuanbo_Pang_Resume.pdf,Chrome/CUA Ashby page shows: Job not found. The job you requested was not found.
